Days,Time,finalDate,finalTime
TR,0800 - 0915,"Dec 14, 2023",0800 - 1050
T,0800 - 1045,"Dec 14, 2023",0800 - 1050
TWRF,0825 - 0915,"Dec 14, 2023",0800 - 1050
TRF,0825 - 0915,"Dec 14, 2023",0800 - 1050
TR,0825 - 0915,"Dec 14, 2023",0800 - 1050
TR,0825 - 1020,"Dec 14, 2023",0800 - 1050
T,0825 - 1020,"Dec 14, 2023",0800 - 1050
R,0800 - 1045,"Dec 11, 2023",0800 - 1050
TWRF,0930 - 1020,"Dec 11, 2023",0800 - 1050
TRF,0930 - 1020,"Dec 11, 2023",0800 - 1050
TR,0930 - 1020,"Dec 11, 2023",0800 - 1050
TR,0930 - 1045,"Dec 11, 2023",0800 - 1050
MW,0800 - 0915,"Dec 08, 2023",0800 - 1050
WF,0800 - 0915,"Dec 08, 2023",0800 - 1050
M,0800 - 1045,"Dec 08, 2023",0800 - 1050
MTWR,0825 - 0915,"Dec 08, 2023",0800 - 1050
MWF,0825 - 0915,"Dec 08, 2023",0800 - 1050
MW,0825 - 0915,"Dec 08, 2023",0800 - 1050
WF,0825 - 0915,"Dec 08, 2023",0800 - 1050
MW,0825 - 1020,"Dec 08, 2023",0800 - 1050
M,0825 - 1020,"Dec 08, 2023",0800 - 1050
R,0825 - 1020,"Dec 08, 2023",0800 - 1050
W,0800 - 1045,"Dec 13, 2023",0800 - 1050
WF,0825 - 1020,"Dec 13, 2023",0800 - 1050
W,0825 - 1020,"Dec 13, 2023",0800 - 1050
MTWR,0930 - 1020,"Dec 13, 2023",0800 - 1050
MWF,0930 - 1020,"Dec 13, 2023",0800 - 1050
MW,0930 - 1020,"Dec 13, 2023",0800 - 1050
WF,0930 - 1020,"Dec 13, 2023",0800 - 1050
MW,0930 - 1045,"Dec 13, 2023",0800 - 1050
WF,0930 - 1045,"Dec 13, 2023",0800 - 1050
TWRF,1230 - 1320,"Dec 14, 2023",1120 - 1410
TRF,1230 - 1320,"Dec 14, 2023",1120 - 1410
TR,1230 - 1320,"Dec 14, 2023",1120 - 1410
TR,1230 - 1345,"Dec 14, 2023",1120 - 1410
MWF,1100 - 1150,"Dec 08, 2023",1120 - 1410
MW,1100 - 1150,"Dec 08, 2023",1120 - 1410
WF,1100 - 1150,"Dec 08, 2023",1120 - 1410
MW,1100 - 1215,"Dec 08, 2023",1120 - 1410
WF,1100 - 1215,"Dec 08, 2023",1120 - 1410
MTWR,1230 - 1320,"Dec 13, 2023",1120 - 1410
MWF,1230 - 1320,"Dec 13, 2023",1120 - 1410
MW,1230 - 1320,"Dec 13, 2023",1120 - 1410
WF,1230 - 1320,"Dec 13, 2023",1120 - 1410
MW,1230 - 1345,"Dec 13, 2023",1120 - 1410
WF,1230 - 1345,"Dec 13, 2023",1120 - 1410
F,1100 - 1255,"Dec 11, 2023",1120 - 1410
F,1100 - 1345,"Dec 11, 2023",1120 - 1410
M,1700 - 1855,"Dec 11, 2023",1800 - 2050
M,1700 - 1945,"Dec 11, 2023",1800 - 2050
MTWR,1830 - 1920,"Dec 11, 2023",1800 - 2050
MWF,1830 - 1920,"Dec 11, 2023",1800 - 2050
MW,1830 - 1920,"Dec 11, 2023",1800 - 2050
WF,1830 - 1920,"Dec 11, 2023",1800 - 2050
MW,1830 - 1945,"Dec 11, 2023",1800 - 2050
WF,1830 - 1945,"Dec 11, 2023",1800 - 2050
MW,1830 - 2025,"Dec 11, 2023",1800 - 2050
WF,1830 - 2025,"Dec 11, 2023",1800 - 2050
M,1830 - 2025,"Dec 11, 2023",1800 - 2050
M,1830 - 2115,"Dec 11, 2023",1800 - 2050
T,1700 - 1855,"Dec 12, 2023",1800 - 2050
T,1700 - 1945,"Dec 12, 2023",1800 - 2050
TWRF,1830 - 1920,"Dec 12, 2023",1800 - 2050
TRF,1830 - 1920,"Dec 12, 2023",1800 - 2050
TR,1830 - 1920,"Dec 12, 2023",1800 - 2050
TR,1830 - 1945,"Dec 12, 2023",1800 - 2050
TR,1830 - 2025,"Dec 12, 2023",1800 - 2050
T,1830 - 2025,"Dec 12, 2023",1800 - 2050
T,1830 - 2115,"Dec 12, 2023",1800 - 2050
W,1700 - 1855,"Dec 13, 2023",1800 - 2050
W,1700 - 1945,"Dec 13, 2023",1800 - 2050
W,1830 - 2025,"Dec 13, 2023",1800 - 2050
W,1830 - 2115,"Dec 13, 2023",1800 - 2050
MTWR,2000 - 2050,"Dec 13, 2023",1800 - 2050
MWF,2000 - 2050,"Dec 13, 2023",1800 - 2050
MW,2000 - 2050,"Dec 13, 2023",1800 - 2050
WF,2000 - 2050,"Dec 13, 2023",1800 - 2050
MW,2000 - 2115,"Dec 13, 2023",1800 - 2050
WF,2000 - 2115,"Dec 13, 2023",1800 - 2050
R,1700 - 1855,"Dec 14, 2023",1800 - 2050
R,1700 - 1945,"Dec 14, 2023",1800 - 2050
R,1830 - 2025,"Dec 14, 2023",1800 - 2050
R,1830 - 2115,"Dec 14, 2023",1800 - 2050
TWRF,2000 - 2050,"Dec 14, 2023",1800 - 2050
TRF,2000 - 2050,"Dec 14, 2023",1800 - 2050
TR,2000 - 2050,"Dec 14, 2023",1800 - 2050
TR,2000 - 2115,"Dec 14, 2023",1800 - 2050
TWRF,1700 - 1750,"Dec 07, 2023",1800 - 2050
TRF,1700 - 1750,"Dec 07, 2023",1800 - 2050
TR,1700 - 1750,"Dec 07, 2023",1800 - 2050
TR,1700 - 1815,"Dec 07, 2023",1800 - 2050
TR,1700 - 1855,"Dec 07, 2023",1800 - 2050
MTWR,1700 - 1750,"Dec 08, 2023",1800 - 2050
MWF,1700 - 1750,"Dec 08, 2023",1800 - 2050
MW,1700 - 1750,"Dec 08, 2023",1800 - 2050
WF,1700 - 1750,"Dec 08, 2023",1800 - 2050
MW,1700 - 1815,"Dec 08, 2023",1800 - 2050
WF,1700 - 1815,"Dec 08, 2023",1800 - 2050
MW,1700 - 1855,"Dec 08, 2023",1800 - 2050
WF,1700 - 1855,"Dec 08, 2023",1800 - 2050
F,1700 - 1855,"Dec 08, 2023",1800 - 2050
F,1700 - 1945,"Dec 08, 2023",1800 - 2050
F,1830 - 2025,"Dec 08, 2023",1800 - 2050
F,1830 - 2115,"Dec 08, 2023",1800 - 2050
F,1400 - 1555,"Dec 14, 2023",1440 - 1730
F,1400 - 1645,"Dec 14, 2023",1440 - 1730
F,0800 - 1045,"Dec 11, 2023",1440 - 1730
F,0825 - 1020,"Dec 11, 2023",1440 - 1730
MTWR,1400 - 1450,"Dec 13, 2023",1440 - 1730
MWF,1400 - 1450,"Dec 13, 2023",1440 - 1730
MW,1400 - 1450,"Dec 13, 2023",1440 - 1730
WF,1400 - 1450,"Dec 13, 2023",1440 - 1730
MW,1400 - 1515,"Dec 13, 2023",1440 - 1730
WF,1400 - 1515,"Dec 13, 2023",1440 - 1730
TWRF,1400 - 1450,"Dec 07, 2023",1440 - 1730
TRF,1400 - 1450,"Dec 07, 2023",1440 - 1730
TR,1400 - 1450,"Dec 07, 2023",1440 - 1730
TR,1400 - 1515,"Dec 07, 2023",1440 - 1730
MTWR,1530 - 1620,"Dec 08, 2023",1440 - 1730
MWF,1530 - 1620,"Dec 08, 2023",1440 - 1730
MW,1530 - 1620,"Dec 08, 2023",1440 - 1730
WF,1530 - 1620,"Dec 08, 2023",1440 - 1730
MW,1530 - 1645,"Dec 08, 2023",1440 - 1730
WF,1530 - 1645,"Dec 08, 2023",1440 - 1730
TWRF,1530 - 1620,"Dec 12, 2023",1440 - 1730
TRF,1530 - 1620,"Dec 12, 2023",1440 - 1730
TR,1530 - 1620,"Dec 12, 2023",1440 - 1730
TR,1530 - 1645,"Dec 12, 2023",1440 - 1730
